timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1530123886995,73,HTTP Request,200,OK,Thread Group 1-28,text,true,,140,208,34,34,73,0,0
1530123886984,87,HTTP Request,200,OK,Thread Group 1-14,text,true,,140,208,34,34,87,0,0
1530123886990,114,HTTP Request,200,OK,Thread Group 1-16,text,true,,140,208,34,34,114,0,0
1530123887032,79,HTTP Request,200,OK,Thread Group 1-20,text,true,,140,208,34,34,78,0,0
1530123886088,1025,HTTP Request,200,OK,Thread Group 1-8,text,true,,140,208,34,34,1025,0,0
1530123887002,114,HTTP Request,200,OK,Thread Group 1-29,text,true,,140,208,34,34,114,0,0
1530123887030,88,HTTP Request,200,OK,Thread Group 1-25,text,true,,140,208,34,34,88,0,0
1530123886327,799,HTTP Request,200,OK,Thread Group 1-24,text,true,,140,208,35,35,799,0,18
1530123886906,264,HTTP Request,200,OK,Thread Group 1-15,text,true,,140,208,35,35,264,0,0
1530123886472,725,HTTP Request,200,OK,Thread Group 1-26,text,true,,140,208,36,36,725,0,17
1530123886106,1123,HTTP Request,200,OK,Thread Group 1-21,text,true,,140,208,36,36,1123,0,18
1530123887027,214,HTTP Request,200,OK,Thread Group 1-7,text,true,,140,208,36,36,214,0,0
1530123886984,266,HTTP Request,200,OK,Thread Group 1-19,text,true,,140,208,36,36,266,0,0
1530123887000,259,HTTP Request,200,OK,Thread Group 1-17,text,true,,140,208,36,36,259,0,0
1530123887050,210,HTTP Request,200,OK,Thread Group 1-34,text,true,,140,208,36,36,210,0,19
1530123887171,96,HTTP Request,200,OK,Thread Group 1-15,text,true,,140,208,36,36,96,0,0
1530123886979,288,HTTP Request,200,OK,Thread Group 1-33,text,true,,140,208,36,36,288,0,16
1530123887069,201,HTTP Request,200,OK,Thread Group 1-18,text,true,,140,208,37,37,201,0,0
1530123887069,210,HTTP Request,200,OK,Thread Group 1-28,text,true,,140,208,37,37,210,0,0
1530123886995,324,HTTP Request,200,OK,Thread Group 1-4,text,true,,140,208,37,37,324,0,21
1530123887061,267,HTTP Request,200,OK,Thread Group 1-13,text,true,,140,208,37,37,267,0,0
1530123887045,286,HTTP Request,200,OK,Thread Group 1-12,text,true,,140,208,37,37,286,0,0
1530123886485,852,HTTP Request,200,OK,Thread Group 1-11,text,true,,140,208,37,37,852,0,0
1530123886179,1219,HTTP Request,200,OK,Thread Group 1-22,text,true,,140,208,38,38,1219,0,19
1530123887030,397,HTTP Request,200,OK,Thread Group 1-31,text,true,,140,208,39,39,397,0,0
1530123887104,324,HTTP Request,200,OK,Thread Group 1-16,text,true,,140,208,39,39,324,0,0
1530123887062,368,HTTP Request,200,OK,Thread Group 1-10,text,true,,140,208,39,39,368,0,0
1530123887198,235,HTTP Request,200,OK,Thread Group 1-26,text,true,,140,208,39,39,235,0,0
1530123887195,239,HTTP Request,200,OK,Thread Group 1-36,text,true,,140,208,39,39,239,0,19
1530123887040,396,HTTP Request,200,OK,Thread Group 1-23,text,true,,140,208,39,39,396,0,0
1530123887279,165,HTTP Request,200,OK,Thread Group 1-28,text,true,,140,208,39,39,165,0,0
1530123887042,409,HTTP Request,200,OK,Thread Group 1-6,text,true,,140,208,39,39,409,0,26
1530123887230,229,HTTP Request,200,OK,Thread Group 1-21,text,true,,140,208,39,39,229,0,0
1530123887320,143,HTTP Request,200,OK,Thread Group 1-4,text,true,,140,208,39,39,143,0,0
1530123887267,196,HTTP Request,200,OK,Thread Group 1-33,text,true,,140,208,39,39,196,0,0
1530123887033,439,HTTP Request,200,OK,Thread Group 1-27,text,true,,140,208,39,39,439,0,0
1530123887113,361,HTTP Request,200,OK,Thread Group 1-8,text,true,,140,208,39,39,361,0,0
1530123887072,405,HTTP Request,200,OK,Thread Group 1-14,text,true,,140,208,39,39,405,0,0
1530123887116,361,HTTP Request,200,OK,Thread Group 1-29,text,true,,140,208,39,39,361,0,0
1530123887267,210,HTTP Request,200,OK,Thread Group 1-15,text,true,,140,208,39,39,210,0,0
1530123887270,209,HTTP Request,200,OK,Thread Group 1-18,text,true,,140,208,39,39,209,0,0
1530123887242,245,HTTP Request,200,OK,Thread Group 1-7,text,true,,140,208,39,39,245,0,25
1530123887118,369,HTTP Request,200,OK,Thread Group 1-25,text,true,,140,208,39,39,369,0,0
1530123887250,240,HTTP Request,200,OK,Thread Group 1-19,text,true,,140,208,40,40,240,0,0
1530123887259,251,HTTP Request,200,OK,Thread Group 1-17,text,true,,140,208,40,40,251,0,0
1530123887399,113,HTTP Request,200,OK,Thread Group 1-22,text,true,,140,208,40,40,113,0,0
1530123887111,402,HTTP Request,200,OK,Thread Group 1-20,text,true,,140,208,40,40,402,0,0
1530123887260,253,HTTP Request,200,OK,Thread Group 1-34,text,true,,140,208,40,40,253,0,0
1530123887268,257,HTTP Request,200,OK,Thread Group 1-37,text,true,,140,208,40,40,257,0,28
1530123887435,91,HTTP Request,200,OK,Thread Group 1-36,text,true,,140,208,40,40,91,0,0
1530123887436,94,HTTP Request,200,OK,Thread Group 1-23,text,true,,140,208,40,40,94,0,0
1530123887328,218,HTTP Request,200,OK,Thread Group 1-13,text,true,,140,208,40,40,218,0,0
1530123887452,94,HTTP Request,200,OK,Thread Group 1-6,text,true,,140,208,40,40,94,0,0
1530123886906,644,HTTP Request,200,OK,Thread Group 1-32,text,true,,140,208,40,40,644,0,19
1530123887431,121,HTTP Request,200,OK,Thread Group 1-10,text,true,,140,208,40,40,121,0,24
1530123887429,123,HTTP Request,200,OK,Thread Group 1-16,text,true,,140,208,40,40,123,0,0
1530123887427,130,HTTP Request,200,OK,Thread Group 1-31,text,true,,140,208,40,40,130,0,0
1530123887434,123,HTTP Request,200,OK,Thread Group 1-26,text,true,,140,208,40,40,123,0,0
1530123886751,818,HTTP Request,200,OK,Thread Group 1-5,text,true,,140,208,41,41,818,0,0
1530123886751,885,HTTP Request,200,OK,Thread Group 1-9,text,true,,140,208,41,41,885,0,0
1530123886751,892,HTTP Request,200,OK,Thread Group 1-2,text,true,,140,208,42,42,892,0,0
1530123887464,243,HTTP Request,200,OK,Thread Group 1-4,text,true,,140,208,42,42,243,0,0
1530123887513,213,HTTP Request,200,OK,Thread Group 1-34,text,true,,140,208,43,43,213,0,0
1530123887487,239,HTTP Request,200,OK,Thread Group 1-7,text,true,,140,208,43,43,239,0,0
1530123887531,199,HTTP Request,200,OK,Thread Group 1-23,text,true,,140,208,43,43,199,0,0
1530123887489,242,HTTP Request,200,OK,Thread Group 1-40,text,true,,140,208,43,43,242,0,27
1530123887478,259,HTTP Request,200,OK,Thread Group 1-14,text,true,,140,208,43,43,259,0,0
1530123887480,261,HTTP Request,200,OK,Thread Group 1-18,text,true,,140,208,43,43,261,0,0
1530123887473,269,HTTP Request,200,OK,Thread Group 1-27,text,true,,140,208,43,43,269,0,0
1530123887526,234,HTTP Request,200,OK,Thread Group 1-37,text,true,,140,208,43,43,234,0,0
1530123887491,269,HTTP Request,200,OK,Thread Group 1-19,text,true,,140,208,43,43,269,0,0
1530123886762,998,HTTP Request,200,OK,Thread Group 1-30,text,true,,140,208,43,43,998,0,22
1530123887464,296,HTTP Request,200,OK,Thread Group 1-33,text,true,,140,208,43,43,296,0,0
1530123887459,301,HTTP Request,200,OK,Thread Group 1-21,text,true,,140,208,43,43,301,0,0
1530123887444,326,HTTP Request,200,OK,Thread Group 1-28,text,true,,140,208,43,43,326,0,0
1530123887415,368,HTTP Request,200,OK,Thread Group 1-39,text,true,,140,208,43,43,368,0,15
1530123887478,311,HTTP Request,200,OK,Thread Group 1-29,text,true,,140,208,44,44,311,0,0
1530123887644,147,HTTP Request,200,OK,Thread Group 1-2,text,true,,140,208,44,44,147,0,16
1530123887487,309,HTTP Request,200,OK,Thread Group 1-25,text,true,,140,208,44,44,309,0,0
1530123887557,247,HTTP Request,200,OK,Thread Group 1-26,text,true,,140,208,44,44,247,0,0
1530123887511,306,HTTP Request,200,OK,Thread Group 1-17,text,true,,140,208,44,44,306,0,0
